Pięć tysięcy (Пенчь тысёнцы);5 000
Rano, ranek (Рано, ранэк);Утро
Początku dnia (Почёнтку дня);Утром
Po południu (По поԝудню);Днём
W nocy (В ноцы);Ночью
Godzina pierwsza (Годжина перфша);Первый час
Godzina druga (Годжина друга);Второй час
Godzina trzecia (Годжина тшэча);Третий час
Godzina czwarta (Годжина чфарта);Четвёртый час
Godzina piąta (Годжина пёнта);Пятый час
Godzina szósta (Годжина шуста);Шестой час
Godzina siódma (Годжина щудма);Седьмой час
Godzina ósma (Годжина усма);Восьмой час
Godzina dziewiąta (Годжина джевёнта);Девятый час
Godzina dziesiąta (Годжина джещёнта);Десятый час
Godzina jedenasta (Годжина едэнаста);Одиннадцатый час
Godzina dwunasta (Годжина двунаста);Двенадцатый часов
Pół godziny (Пуԝ годжины);Полчаса
W tym tygodniu (В тым тыгодню);На этой неделе
W zeszłym tygodniu (В жешԝым тыгодню);На прошлой неделе
W przyszłym tygodniu (В пшышԝым тыгодню);На следующей неделе
Wielka Brytania (Велка Брытанья);Великобритания
Linia lotnicza (Линья лётнича);Авиалиния
Rozkład jazdy (поездка) / rozkład lotów (полёт) (Розкԝад язды, розкԝад лётув);Расписание
Wyjazd, odjazd (Выязд, одъязд);Отъезд
Wylot, odlot (Вылёт, одлёт);Вылет
W dzień świąteczny / w dni świąteczne (В джень щвёнтэчны / в дни щвёнчэчнэ);В праздник / в праздники
Ile kosztuje bilet do_____? (Иле коштуэ билет до_____?);Сколько стоит билет в _____?
Jeden bilet do _____, proszę (Едэн билет до _____, прошэ);Один билет в _____, пожалуйста
Dokąd jedzie ten pociąg/autobus? (Доконд едже тэн почьёнг/аԝтобус?);Куда идёт этот поезд/автобус?
Skąd odjeżdża pociąg/autobus do _____? (Сконд одъежджа почьёнг/аԝтобус до _____?);Где поезд/автобус до_____?
Czy ten pociąg/autobus staje w _____? (Чы тэн почьёнг/аԝтобус стае в _____?);Этот поезд/автобус останавливается в _____?
Kiedy odjeżdża pociąg/autobus do _____? (Кеды одъежджа почьёнг/аԝтобус до _____?);Когда отходит поезд/автобус в _____ ?
O której (kiedy) ten pociąg/autobus przyjeżdża do _____? (О ктурэй (кеды) тэн почьёнг/аԝтобус пшыежджа до _____?);Во сколько этот поезд/автобус приходит в_____?
Kasować bilet (Касовач билет);Проверять билет
Pierwsza/druga klasa (Перфша/друга класа);Первый/второй класс
Miejsce przy oknie (Мейсцэ пшы окне);Место у окна
Dla palących (Для палонцых);Для курящих
Miejsce siedzące (Мейсцэ щеджонцэ);Сидячее место
Miejsce leżące/sypialne (Мейсцэ лежонцэ/сыпяльнэ);Лежачее/спальное место
Jak dostać się do _____? (Як достачь ще до _____?);Как добраться до_____?
…stacji kolejowej? (…стацъи колеёвэй?);…ЖД вокзала?
…dworca autobusowego? (…дворца аԝтобусовэго?);…автовокзала?
…hotelu _____? (…хотэлю _____?);…гостиницы _____?
…schroniska młodzieżowego? (…схрониска мԝоджьежовэго?);…молодёжного общежития?
…rosyjskiego konsulatu? (…росыйскего консуляту?);…русского консульства/посольства?
Gdzie znajdę dużo _____? (Гдже знайдэ дужо _____?);Где есть много _____?
…miejsc do zwiedzenia? (…мейсц до зведжэня?);…мест посмотреть?
Czy może pan m / pani f pokazać mi na mapie _____? (Чы можэ пан / пани показачь ми на мапе _____?);Пожалуйста, Вы можете показать на карте _____?
Skręć w prawo (Скрэнчь в право);Поверните направо
Skręć w lewo (Скрэнчь в лево);Поверните налево
W kierunku _____ (В керунку);К _____
Minąć _____ (Минончь);Мимо _____
Przed _____ (Пшэд);Перед ______
Uważaj na _____ (Уважай на _____);Ищите ______
Północ, pn. (Пуԝноц);Север
Południe, pd. (Поԝудне);Юг
Wschód, wsch. (Всхуд);Восток
Zachód, zach. (Захуд);Запад
Pod górę (Под гурэ);Вверх
W dół (В дуԝ);Вниз
Taxi!, Taksówka! (Такси!, Таксувка!);Такси!
Proszę mnie zawieźć do ______ (Прошэ мне завежьчь до ______);Довезите меня до _____, пожалуйста
Ile kosztuje przejazd do _____? (Иле коштуе пшэязд до _____?);Сколько стоит доехать до _____?
Proszę mnie tam zawieźć (Прошэ мне там завежьчь);Довезите меня туда, пожалуйста
Czy są wolne pokoje? (Чы сон вольнэ покое?);У вас есть свободные комнаты?
Ile kosztuje pokój dla jednej osoby/dwóch osób? (Иле коштуе покуй для еднэй особы/двух осуб?);Сколько стоит комната на одного человека/двух человек?
Czy ten pokój jest z… (Чы тэн покуй ест з …);Этот номер с…
Czy mogę najpierw zobaczyć pokój? (Чы могэ найпервш зобачычь покуй?);Могу я сначала посмотреть комнату?
Czy jest jakiś cichszy? (Чы ест якищь чихшы?);У вас есть что-нибудь потише?
Dobrze, wezmę go (Добжэ, вэзмэ го);Хорошо, я беру
Zostanę na _____ noce/nocy (Зостанэ на _____ ноцэ/ноцы);Я останусь на _____ ночь/ночи/ночей
Czy może pan m / pani f polecić inny hotel? (Чы можэ пан/пани полечичь инны хотэл?);Вы можете предложить другую гостиницу?
Czy jest tu sejf? (Чы ест ту сэйф?);У вас есть сейф?
Gdzie jest szatnia/są szatnie? (Гдже ест шатня/сон шатне?);Где вешалка/вешалки?
Czy śniadanie/kolacja jest wliczone? (Чы щнядане/колацъя ест вличонэ?);Завтрак/ужин включен?
Kiedy jest śniadanie/kolacja? (Кеды ест щнядане/колацъя?);Во сколько завтрак/ужин?
Proszę posprzątać mój pokój (Прошэ поспжонтачь муй покуй);Уберите в моей комнате, пожалуйста
Czy może mnie pan m / pani f obudzić o _____? (Чы можэ мне пан/пани обуджичь о _____?);Не могли бы вы разбудить меня в _____?
Chcę się wymeldować (Хцэ ще вымэльдовачь);Я хотел бы выписаться
Czy mogę zapłacić kartą kredytową?(Чы могэ запԝачичь карто[н] крэдытово[н]?);Вы принимаете кредитные карты?
Czy mogę wymienić pieniądze? (Чы могэ выменичь пенёндзэ?);Не могли бы Вы обменять мне деньги?
Gdzie mogę wymienić pieniądze? (Гдже могэ выменичь пенёндзэ?);Где я могу обменять деньги?
Jaki jest kurs wymiany? (Яки ест курс вымяны?);Какой курс обмена?
Gdzie jest bankomat? (Гдже ест банкомат?);Где здесь банкомат?
Czy może mi pan m / pani f wymienić to na monety? (Чы можэ ми пан/пани выменичь то на монэты?);Не могли бы Вы обменять мне это на монеты?
Poproszę stolik dla jednej osoby/dwóch osób (Попрошэ столик для еднэй особы/двух осуб);Столик на одного человека/двух человек, пожалуйста
Czy mogę zobaczyć menu? (Чы могэ зобачычь мэню?);Могу я посмотреть меню?
Jaka jest specjalność tego lokalu? (Яка ест спэцъяльнощчь тэго локалу?);Какое у вас фирменное блюдо?
Jestem wegetarianinem (Естэм вэгэтарянинэм);Я вегетарианец/вегетарианка
Nie jem mięsa (Не ем менса);Я не ем мяса
Nie jem wieprzowiny (Не ем вепшовины);Я не ем свинину
Jem tylko koszerne jedzenie (Ем тылько кошэрнэ еджэне);Я принимаю только кошерную пищу
Czy mogłoby to być podane z mniej ____ (Чы могԝобы то бычь поданэ з мней ____);Сделайте, пожалуйста, поменьше ____
Poproszę ____ (Попрошэ ____);Я хочу ____
Poproszę danie z _____ (Попрошэ дане з _____);Я хочу блюдо с ____
…parówką, kiełbasą (…парувко, кеԝбасо);…колбасой
Ser żółty (Сэр жуԝты);Сыр
Proszę о rachunek (Прошэ о рахунэк);Дайте, пожалуйста, счёт
